iter	Logloss
0	0.6916204293
1	0.6902924143
2	0.688614528
3	0.687552739
4	0.6858490027
5	0.6841380336
6	0.6831449368
7	0.681774957
8	0.6802638254
9	0.6794214385
10	0.6787602691
11	0.6768506292
12	0.6756635232
13	0.674244576
14	0.6728601885
15	0.6727991938
16	0.6713038959
17	0.6704076345
18	0.6691505603
19	0.6677629368
20	0.6664903574
21	0.6655877168
22	0.6642631804
23	0.6626067551
24	0.6611192065
25	0.6603180925
26	0.6591544952
27	0.6578135397
28	0.6561770267
29	0.6551102323
30	0.6540893827
31	0.6525604501
32	0.6513287802
33	0.6498188621
34	0.64873161
35	0.6471594088
36	0.6457638935
37	0.6443866566
38	0.6433677516
39	0.6422935414
40	0.6408642982
41	0.6394077887
42	0.6382607495
43	0.637187038
44	0.635893784
45	0.6350017844
46	0.6336476732
47	0.6321328398
48	0.6308203046
49	0.6297366135
50	0.6284136085
51	0.627191034
52	0.6261672535
53	0.6244077687
54	0.6232035019
55	0.6218586051
56	0.6205575731
57	0.6191611141
58	0.6181320511
59	0.6169952316
60	0.6162039625
61	0.615525314
62	0.6138797729
63	0.6127960686
64	0.6115413826
65	0.6099984385
66	0.6087813779
67	0.6074693733
68	0.6062933343
69	0.6051954913
70	0.6043918712
71	0.6033788617
72	0.6023575626
73	0.6014168188
74	0.6005349068
75	0.5993003858
76	0.5979842486
77	0.5968760894
78	0.5956117246
79	0.5947631999
80	0.5943474066
81	0.5930903815
82	0.5920534117
83	0.5909019982
84	0.5899421208
85	0.5889908932
86	0.5879317067
87	0.5869597639
88	0.5860139239
89	0.584906179
90	0.5836754147
91	0.5824268866
92	0.5815148602
93	0.5814243977
94	0.5799775331
95	0.5789707518
96	0.5774853668
97	0.5767421267
98	0.5756769983
99	0.5745158974
100	0.5736021664
101	0.5727224983
102	0.5724107652
103	0.5714747363
104	0.5705979251
105	0.569393624
106	0.5681156615
107	0.5671286078
108	0.5663630606
109	0.5658390572
110	0.5645439368
111	0.5633425646
112	0.5624225959
113	0.5614919911
114	0.5603800532
115	0.5593020908
116	0.558761932
117	0.5577357411
118	0.5570368783
119	0.5563105601
120	0.5551389911
121	0.5542204008
122	0.5528976048
123	0.5515815169
124	0.5502030063
125	0.5493440206
126	0.5483842293
127	0.5474175223
128	0.5465036457
129	0.54542605
130	0.5442366054
131	0.5429503214
132	0.5423845707
133	0.5411769152
134	0.5399608612
135	0.5389294012
136	0.5377455288
137	0.5364987337
138	0.5353788419
139	0.5341400504
140	0.532858308
141	0.5319493181
142	0.5310741365
143	0.5303008267
144	0.5291983527
145	0.5281951783
146	0.5273188195
147	0.5265183316
148	0.5262138512
149	0.5258086969
150	0.5246644773
151	0.524152341
152	0.5233625463
153	0.5221704832
154	0.5210211252
155	0.5198897115
156	0.5189749913
157	0.5184954512
158	0.5175314587
159	0.5169377252
160	0.5160785723
161	0.5153892231
162	0.5144097275
163	0.5133729494
164	0.5124225708
165	0.5114056965
166	0.5106505023
167	0.5095570294
168	0.5087695395
169	0.5078698339
170	0.507532931
171	0.5068708021
172	0.5057717628
173	0.5049980324
174	0.5041267715
175	0.5030885322
176	0.5021772972
177	0.5011740865
178	0.5003676034
179	0.4998290903
180	0.499040905
181	0.4981865734
182	0.4973802103
183	0.4971198738
184	0.4965589568
185	0.4956192424
186	0.4948819818
187	0.4938657226
188	0.4928306142
189	0.4920783449
190	0.4909864292
191	0.4900920283
192	0.489340812
193	0.4884111053
194	0.4878440607
195	0.4870633541
196	0.4860522739
197	0.4849863441
198	0.4840404838
199	0.48361554
200	0.4830201831
201	0.4820812361
202	0.4811826737
203	0.4804704967
204	0.4797104696
205	0.4790475095
206	0.4784431631
207	0.4776418648
208	0.4768057466
209	0.4756393813
210	0.4748078717
211	0.473760633
212	0.4728576458
213	0.4723197404
214	0.4717754175
215	0.4707999436
216	0.4701011471
217	0.4695701558
218	0.4684762052
219	0.4675877972
220	0.4667478742
221	0.4658391873
222	0.4650728173
223	0.4644005663
224	0.4637253144
225	0.4631391466
226	0.4625676812
227	0.4616470685
228	0.4606315734
229	0.4595764875
230	0.4589672238
231	0.4582353019
232	0.4574652761
233	0.4566166873
234	0.4558384319
235	0.4552717722
236	0.4545800247
237	0.4537344244
238	0.4530209518
239	0.4523757911
240	0.451525564
241	0.450927645
242	0.450406861
243	0.4499069552
244	0.4496789873
245	0.4488877886
246	0.4483127114
247	0.4475583749
248	0.4470051891
249	0.4461198333
250	0.4453662717
251	0.4444322818
252	0.4436894721
253	0.4426810261
254	0.4422045516
255	0.4414129456
256	0.4404100279
257	0.4396734138
258	0.4388854586
259	0.4382561412
260	0.4377347281
261	0.4369379365
262	0.4362550825
263	0.4355527014
264	0.435051678
265	0.4343841076
266	0.4335339169
267	0.4327903903
268	0.432067992
269	0.4311659733
270	0.430259039
271	0.4297218207
272	0.4292138865
273	0.428444561
274	0.4278862062
275	0.4271944993
276	0.426385762
277	0.4255810959
278	0.4251467519
279	0.4243464967
280	0.4237426188
281	0.4228605297
282	0.4220879426
283	0.4215499991
284	0.4208024525
285	0.4200729016
286	0.4194706513
287	0.4188833783
288	0.4180736658
289	0.4178221822
290	0.4171555059
291	0.416285639
292	0.41546836
293	0.4148569769
294	0.4143669837
295	0.4137405058
296	0.4135377589
297	0.4128457838
298	0.4123703986
299	0.4118502405
